club_from,club_to,transfers
FC Augsburg,Borussia Dortmund,3
Borussia Dortmund,FC St. Pauli,4
VfB Stuttgart,Bayer 04 Leverkusen,3
FC St. Pauli,Bayer 04 Leverkusen,2
FC St. Pauli,FC Schalke 04,2
RB Leipzig,Hamburger SV,1
FC Augsburg,Hamburger SV,4
Karlsruher SC,Borussia Mönchengladbach,2
Borussia Mönchengladbach,FC St. Pauli,1
MSV Duisburg,1.FSV Mainz 05,1
1.FSV Mainz 05,FC St. Pauli,3
Karlsruher SC,FC Augsburg,2
FC Augsburg,VfL Bochum,1
VfL Wolfsburg,TSG 1899 Hoffenheim,4
SC Freiburg,TSG 1899 Hoffenheim,5
FC St. Pauli,1. FC Köln,1
1.FC Kaiserslautern,RB Leipzig,1
1. FC Köln,SC Freiburg,3
TSG 1899 Hoffenheim,VfB Stuttgart,5
TSG 1899 Hoffenheim,FC Schalke 04,5
FC St. Pauli,Borussia Dortmund,2
FC Augsburg,FC Schalke 04,4
Eintracht Frankfurt,1. FC Köln,2
1.FC Nuremberg,RB Leipzig,3
1.FC Nuremberg,1. FC Köln,1
VfL Wolfsburg,Hertha BSC,7
Hertha BSC,1.FSV Mainz 05,3
1.FSV Mainz 05,Hertha BSC,5
FC Augsburg,Karlsruher SC,1
FC Augsburg,Hertha BSC,13
1.FSV Mainz 05,SpVgg Greuther Fürth,1
FC Schalke 04,SpVgg Greuther Fürth,1
FC Schalke 04,TSG 1899 Hoffenheim,6
TSG 1899 Hoffenheim,RB Leipzig,2
TSG 1899 Hoffenheim,FC Augsburg,3
TSG 1899 Hoffenheim,FC St. Pauli,4
TSG 1899 Hoffenheim,VfL Wolfsburg,3
SC Freiburg,Fortuna Düsseldorf,1
MSV Duisburg,Fortuna Düsseldorf,2
Fortuna Düsseldorf,MSV Duisburg,2
Fortuna Düsseldorf,1. FC Köln,2
Fortuna Düsseldorf,Hamburger SV,1
VfL Wolfsburg,Eintracht Frankfurt,4
Hamburger SV,SpVgg Greuther Fürth,3
SpVgg Greuther Fürth,FC Schalke 04,1
1.FSV Mainz 05,TSG 1899 Hoffenheim,1
1.FSV Mainz 05,Bayern Munich,2
SC Freiburg,Eintracht Frankfurt,2
RB Leipzig,VfL Wolfsburg,1
FC St. Pauli,VfL Wolfsburg,2
VfB Stuttgart,FC Augsburg,2
FC Augsburg,TSG 1899 Hoffenheim,3
FC St. Pauli,TSG 1899 Hoffenheim,4
FC Augsburg,Eintracht Braunschweig,1
1.FSV Mainz 05,Eintracht Braunschweig,1
MSV Duisburg,Eintracht Braunschweig,1
FC Schalke 04,Bayer 04 Leverkusen,2
FC Augsburg,Borussia Mönchengladbach,3
1.FSV Mainz 05,SC Freiburg,9
TSG 1899 Hoffenheim,Hannover 96,9
TSG 1899 Hoffenheim,VfL Bochum,11
1.FC Nuremberg,Hertha BSC,3
Eintracht Frankfurt,SC Freiburg,2
Eintracht Frankfurt,Bayern Munich,1
VfB Stuttgart,RB Leipzig,2
VfL Wolfsburg,SC Paderborn 07,1
Bayern Munich,FC Augsburg,4
VfL Wolfsburg,SV Werder Bremen,3
SC Freiburg,1.FC Nuremberg,7
1.FC Nuremberg,TSG 1899 Hoffenheim,1
VfL Bochum,TSG 1899 Hoffenheim,7
TSG 1899 Hoffenheim,Hamburger SV,1
TSG 1899 Hoffenheim,SC Freiburg,6
SV Werder Bremen,RB Leipzig,1
SC Freiburg,1.FSV Mainz 05,7
RB Leipzig,VfB Stuttgart,1
VfL Bochum,Hamburger SV,1
FC Schalke 04,FC Ingolstadt 04,2
Hertha BSC,SV Darmstadt 98,3
1.FSV Mainz 05,SV Darmstadt 98,1
VfB Stuttgart,SV Darmstadt 98,1
SV Darmstadt 98,1.FC Nuremberg,2
SV Darmstadt 98,1.FSV Mainz 05,1
SV Darmstadt 98,Hertha BSC,1
SV Darmstadt 98,1. FC Köln,2
FC Schalke 04,SV Darmstadt 98,2
Bayer 04 Leverkusen,RB Leipzig,2
VfL Wolfsburg,FC Schalke 04,8
RB Leipzig,FC Ingolstadt 04,1
RB Leipzig,FC Augsburg,4
SC Freiburg,SV Darmstadt 98,1
MSV Duisburg,SV Darmstadt 98,1
Hamburger SV,SV Darmstadt 98,1
SV Darmstadt 98,Hamburger SV,1
Hamburger SV,TSG 1899 Hoffenheim,1
1. FC Köln,TSG 1899 Hoffenheim,2
Hannover 96,TSG 1899 Hoffenheim,4
SC Freiburg,FC St. Pauli,3
RB Leipzig,VfL Bochum,3
RB Leipzig,Bayer 04 Leverkusen,1
FC Schalke 04,Karlsruher SC,1
1. FC Köln,Hamburger SV,5
RB Leipzig,SV Darmstadt 98,1
VfL Bochum,RB Leipzig,2
RB Leipzig,Hertha BSC,4
Borussia Mönchengladbach,Hannover 96,1
Karlsruher SC,FC Schalke 04,1
RB Leipzig,1.FC Nuremberg,3
RB Leipzig,1. FC Köln,5
FC St. Pauli,Fortuna Düsseldorf,1
Hannover 96,Fortuna Düsseldorf,1
VfL Bochum,Fortuna Düsseldorf,1
Fortuna Düsseldorf,Hertha BSC,1
Fortuna Düsseldorf,FC Augsburg,2
Fortuna Düsseldorf,VfB Stuttgart,2
Hannover 96,RB Leipzig,1
FC Schalke 04,Fortuna Düsseldorf,2
Fortuna Düsseldorf,FC Schalke 04,1
Fortuna Düsseldorf,Hannover 96,1
FC Augsburg,1.FSV Mainz 05,2
FC Augsburg,SC Freiburg,4
SC Freiburg,FC Augsburg,4
Hannover 96,FC Augsburg,1
MSV Duisburg,SC Paderborn 07,1
1.FSV Mainz 05,SC Paderborn 07,2
SC Paderborn 07,FC Schalke 04,1
SC Paderborn 07,VfB Stuttgart,1
SC Paderborn 07,MSV Duisburg,1
